Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Reference
ἀχθῆναι	ἄγω	aor	pass	infinitive	—	—	—	—	Lk 18:40,Ac 5:21,Ac 25:6,Ac 25:17
ἤγαγον	ἄγω	aor	actv	indicative	3p	—	—	pl	Mt 21:7,Lk 4:29,Lk 4:40,Lk 19:35,Lk 22:54,Lk 23:1,Jn 18:13,Ac 6:12,Ac 17:15,Ac 17:19,Ac 18:12,Ac 20:12,Ac 23:31
ἄγονται	ἄγω	pres	pass	indicative	3p	—	—	pl	Ac 19:38,Ro 8:14
ἤγαγεν	ἄγω	aor	actv	indicative	3p	—	—	sg	Lk 10:34,Jn 1:42,Jn 19:13,Ac 9:27,Ac 11:26,Ac 13:23,Ac 23:18
ἄγει	ἄγω	pres	actv	indicative	3p	—	—	sg	Lk 24:21,Ro 2:4
ἀγάγῃ	ἄγω	aor	actv	subjunctive	3p	—	—	sg	Ac 9:2,Ac 9:21
ἄγε	ἄγω	pres	actv	imperative	2p	—	—	sg	2 Ti 4:11
ἀγαγόντα	ἄγω	aor	actv	participle	—	mas	acc	sg	Heb 2:10
ἄγοντες	ἄγω	pres	actv	participle	—	mas	nom	pl	Ac 21:16
ἄγω	ἄγω	pres	actv	indicative	1p	—	—	sg	Jn 19:4
ἀγόμενα	ἄγω	pres	pass	participle	—	neu	acc	pl	2 Ti 3:6
Ἄγουσιν	ἄγω	pres	actv	indicative	3p	—	—	pl	Jn 8:3,Jn 9:13,Jn 18:28
ἄγεσθαι	ἄγω	pres	pass	infinitive	—	—	—	—	Ac 21:34
ἤγεσθε	ἄγω	impft	pass	indicative	2p	—	—	pl	1 Co 12:2
ἄξων	ἄγω	futr	actv	participle	—	mas	nom	sg	Ac 22:5
ἄγεσθε	ἄγω	pres	pass	indicative	2p	—	—	pl	Ga 5:18
ἄγωμεν	ἄγω	pres	actv	subjunctive	1p	—	—	pl	Mt 26:46,Mk 1:38,Mk 14:42,Jn 11:7,Jn 11:15,Jn 11:16,Jn 14:31
ἀγαγεῖν	ἄγω	aor	actv	infinitive	—	—	—	—	Jn 10:16,Ac 23:18
ἄγωσιν	ἄγω	pres	actv	subjunctive	3p	—	—	pl	Mk 13:11
ἄξει	ἄγω	futr	actv	indicative	3p	—	—	sg	1 Th 4:14
Ἤγοντο	ἄγω	impft	pass	indicative	3p	—	—	pl	Lk 23:32
ἀγάγετε	ἄγω	aor	actv	imperative	2p	—	—	pl	Lk 19:27,Lk 19:30
Ἤγαγεν	ἄγω	aor	actv	indicative	3p	—	—	sg	Lk 4:9
ἦγεν	ἄγω	imperfect, aorist	actv	indicative	3p	—	—	sg	Ac 5:26
ἀγάγετέ	ἄγω	aor	actv	imperative	2p	—	—	pl	Mt 21:2
Ἀγαγόντες	ἄγω	aor	actv	participle	—	mas	nom	pl	Ac 5:27
ἠγάγετε	ἄγω	aor	actv	indicative	2p	—	—	pl	Jn 7:45,Ac 19:37
Ἄγε	ἄγω	pres	actv	imperative	2p	—	—	sg	Jas 4:13,Jas 5:1
ἄγειν	ἄγω	pres	actv	infinitive	—	—	—	—	Ac 23:10
ἀχθήσεσθε	ἄγω	futr	pass	indicative	2p	—	—	pl	Mt 10:18
ἤχθη	ἄγω	aor	pass	indicative	3p	—	—	sg	Ac 8:32,Ac 25:23
ἤγετο	ἄγω	impft	pass	indicative	3p	—	—	sg	Lk 4:1
