Reference	Result	Lemma	Part of Speech	Adverb/particle Type
Mt 16:24,Mt 18:28,Mk 4:23,Mk 8:34,Mk 9:22,Mk 9:35,Mk 11:25,Lk 9:23,Lk 14:26,Lk 19:8,Ac 13:15,Ac 24:19,Ac 25:5,Ro 1:10,Ro 13:9,1 Co 3:14,1 Co 3:15,1 Co 3:17,1 Co 3:18,1 Co 7:12,1 Co 7:13,1 Co 8:2,1 Co 10:27,1 Co 11:34,1 Co 16:22,2 Co 2:10,2 Co 5:3,2 Co 5:17,2 Co 7:14,2 Co 10:7,2 Co 11:20,2 Co 11:20,2 Co 11:20,2 Co 11:20,2 Co 11:20,Ga 1:9,Ga 3:4,Eph 3:2,Eph 4:21,Eph 4:29,Php 2:1,Php 2:1,Php 2:1,Php 3:15,Php 4:8,Php 4:8,Col 1:23,2 Th 3:10,1 Ti 1:10,1 Ti 5:16,1 Ti 6:3,Tt 1:6,Jas 1:23,Jas 3:2,1 Pe 3:1,1 Pe 4:11,1 Pe 4:11,2 Jn 10,Re 11:5,Re 11:5,Re 13:10,Re 13:10,Re 14:9,Re 14:11,Re 20:15	εἴ	εἰ	conjunction	—
Mt 12:10,Mt 19:3,Mk 3:2,Mk 10:2,Mk 11:13,Lk 6:7,Lk 6:9,Lk 13:23,Lk 22:49,Lk 23:6,Jn 9:25,Ac 1:6,Ac 5:8,Ac 7:1,Ac 8:22,Ac 10:18,Ac 17:11,Ac 19:2,Ac 19:2,Ac 21:37,Ac 22:25,Ac 25:20,1 Co 7:16,1 Co 7:16,2 Co 13:5,1 Jn 4:1	εἰ	εἰ	particle	interrogative
Mt 27:49,Mk 15:36,Mk 15:44,Mk 15:44,Lk 14:28,Lk 14:31,Ac 17:27,Ac 27:39,Php 3:12	εἰ	εἰ	conjunction, particle	—
1 Co 14:37,Php 2:1,Php 3:4,1 Ti 3:1,Jas 1:26,Re 13:9	Εἴ	εἰ	conjunction	—
Mt 4:3,Mt 4:6,Mt 5:13,Mt 5:30,Mt 6:1,Mt 6:23,Mt 6:30,Mt 7:11,Mt 8:31,Mt 9:17,Mt 10:25,Mt 11:14,Mt 11:21,Mt 11:23,Mt 11:27,Mt 11:27,Mt 12:4,Mt 12:7,Mt 12:24,Mt 12:26,Mt 12:27,Mt 12:28,Mt 12:39,Mt 13:57,Mt 14:17,Mt 14:28,Mt 15:24,Mt 16:4,Mt 17:4,Mt 17:8,Mt 18:9,Mt 19:10,Mt 19:17,Mt 19:21,Mt 21:19,Mt 22:45,Mt 23:30,Mt 24:22,Mt 24:24,Mt 24:36,Mt 24:43,Mt 26:24,Mt 26:33,Mt 26:39,Mt 26:42,Mt 26:63,Mt 27:40,Mt 27:43,Mk 2:7,Mk 2:21,Mk 2:22,Mk 2:26,Mk 3:26,Mk 5:37,Mk 6:4,Mk 6:5,Mk 6:8,Mk 8:12,Mk 8:14,Mk 9:9,Mk 9:23,Mk 9:29,Mk 9:42,Mk 10:18,Mk 11:13,Mk 13:20,Mk 13:22,Mk 13:32,Mk 14:21,Mk 14:29,Mk 14:35,Lk 4:3,Lk 4:9,Lk 4:26,Lk 4:27,Lk 5:21,Lk 5:36,Lk 5:37,Lk 6:4,Lk 6:32,Lk 7:39,Lk 8:51,Lk 9:13,Lk 10:6,Lk 10:13,Lk 10:22,Lk 10:22,Lk 11:8,Lk 11:13,Lk 11:18,Lk 11:19,Lk 11:20,Lk 11:29,Lk 11:36,Lk 12:26,Lk 12:28,Lk 12:39,Lk 12:49,Lk 13:9,Lk 14:32,Lk 16:11,Lk 16:12,Lk 16:31,Lk 17:2,Lk 17:6,Lk 17:18,Lk 18:4,Lk 18:19,Lk 19:42,Lk 22:42,Lk 22:67,Lk 23:31,Lk 23:35,Lk 23:37,Jn 1:25,Jn 3:12,Jn 3:13,Jn 4:10,Jn 5:46,Jn 5:47,Jn 6:22,Jn 6:46,Jn 7:4,Jn 7:23,Jn 8:19,Jn 8:39,Jn 8:42,Jn 8:46,Jn 9:33,Jn 9:41,Jn 10:10,Jn 10:24,Jn 10:35,Jn 10:37,Jn 10:38,Jn 11:12,Jn 11:21,Jn 11:32,Jn 13:10,Jn 13:14,Jn 13:17,Jn 13:32,Jn 14:2,Jn 14:6,Jn 14:7,Jn 14:11,Jn 14:28,Jn 15:19,Jn 15:20,Jn 15:20,Jn 15:24,Jn 17:12,Jn 18:8,Jn 18:23,Jn 18:23,Jn 18:30,Jn 18:36,Jn 19:11,Jn 19:15,Jn 20:15,Ac 4:9,Ac 4:19,Ac 5:39,Ac 11:17,Ac 11:19,Ac 16:15,Ac 18:14,Ac 18:15,Ac 19:38,Ac 19:39,Ac 20:16,Ac 23:9,Ac 25:11,Ac 25:11,Ac 26:8,Ac 26:32,Ro 3:3,Ro 3:5,Ro 3:7,Ro 4:2,Ro 4:14,Ro 5:10,Ro 5:15,Ro 5:17,Ro 6:5,Ro 6:8,Ro 7:7,Ro 7:7,Ro 7:16,Ro 7:20,Ro 8:9,Ro 8:10,Ro 8:11,Ro 8:13,Ro 8:13,Ro 8:17,Ro 8:25,Ro 8:31,Ro 9:22,Ro 9:29,Ro 11:6,Ro 11:12,Ro 11:15,Ro 11:15,Ro 11:16,Ro 11:16,Ro 11:18,Ro 11:21,Ro 11:24,Ro 12:18,Ro 13:1,Ro 13:8,Ro 14:14,Ro 14:15,Ro 15:27,1 Co 1:14,1 Co 2:2,1 Co 2:8,1 Co 2:11,1 Co 2:11,1 Co 3:12,1 Co 4:7,1 Co 6:2,1 Co 7:5,1 Co 7:9,1 Co 7:15,1 Co 7:21,1 Co 8:3,1 Co 8:4,1 Co 8:13,1 Co 9:2,1 Co 9:11,1 Co 9:11,1 Co 9:17,1 Co 9:17,1 Co 10:13,1 Co 10:30,1 Co 11:6,1 Co 11:6,1 Co 11:31,1 Co 12:3,1 Co 12:17,1 Co 12:17,1 Co 12:19,1 Co 14:5,1 Co 14:10,1 Co 14:35,1 Co 14:38,1 Co 15:2,1 Co 15:2,1 Co 15:13,1 Co 15:14,1 Co 15:16,1 Co 15:17,1 Co 15:19,1 Co 15:29,1 Co 15:32,1 Co 15:32,1 Co 15:37,2 Co 2:2,2 Co 2:2,2 Co 3:9,2 Co 3:11,2 Co 4:3,2 Co 4:16,2 Co 5:16,2 Co 7:8,2 Co 7:8,2 Co 7:8,2 Co 7:12,2 Co 8:12,2 Co 11:4,2 Co 11:6,2 Co 11:15,2 Co 11:16,2 Co 12:5,2 Co 12:11,2 Co 12:13,2 Co 12:15,2 Co 13:5,Ga 1:7,Ga 1:10,Ga 1:19,Ga 2:14,Ga 2:17,Ga 2:18,Ga 2:21,Ga 3:18,Ga 3:21,Ga 3:29,Ga 4:7,Ga 4:15,Ga 5:11,Ga 5:15,Ga 5:18,Ga 6:3,Ga 6:14,Eph 4:9,Php 1:22,Php 2:17,Php 4:15,Col 2:5,1 Th 4:14,1 Ti 3:5,1 Ti 5:4,1 Ti 5:8,1 Ti 5:10,1 Ti 5:10,1 Ti 5:10,1 Ti 5:10,1 Ti 5:10,1 Ti 5:19,2 Ti 2:11,2 Ti 2:12,2 Ti 2:12,2 Ti 2:13,Phm 17,Phm 18,Heb 2:2,Heb 3:11,Heb 3:18,Heb 4:3,Heb 4:5,Heb 4:8,Heb 6:9,Heb 7:15,Heb 8:4,Heb 9:13,Heb 11:15,Heb 12:8,Heb 12:25,Jas 2:9,Jas 2:11,Jas 3:3,Jas 3:14,Jas 4:11,1 Pe 1:6,1 Pe 1:17,1 Pe 2:3,1 Pe 2:19,1 Pe 2:20,1 Pe 2:20,1 Pe 3:14,1 Pe 3:17,1 Pe 4:14,1 Pe 4:16,1 Pe 4:17,1 Pe 4:18,2 Pe 2:20,1 Jn 2:19,1 Jn 2:22,1 Jn 3:13,1 Jn 4:11,1 Jn 5:5,1 Jn 5:9,Re 2:5,Re 2:16,Re 2:17,Re 9:4,Re 13:17,Re 14:3,Re 19:12,Re 21:27	εἰ	εἰ	conjunction	—
2 Co 2:9	εἰ	εἰ	particle, conjunction	interrogative
Ac 26:23,Ac 26:23	εἰ	εἰ	conjunction, adverb	—
Ac 27:12,Ro 11:14,Php 3:11	εἴ	εἰ	conjunction, particle	—
Mk 8:23,1 Co 1:16	εἴ	εἰ	particle	interrogative
Heb 6:14	εἰ	εἰ	particle, conjunction	emphatic
Mt 5:29,Mt 18:8,Jn 15:18,Jn 15:22,Ro 2:17,Ro 11:17,1 Co 7:17,1 Co 7:36,1 Co 9:12,1 Co 11:16,1 Co 15:12,1 Co 15:44,2 Co 2:5,2 Co 3:7,2 Co 11:30,Ga 5:25,Col 2:20,Col 3:1,2 Th 3:14,Heb 7:11,Heb 8:7,Jas 1:5,Jas 2:8,2 Pe 2:4	Εἰ	εἰ	conjunction	—
